deployment_level, mach, cd
0.0, 0.0, 0.0
0.0, 0.1, 0.849262
0.0, 0.2, 0.546132
0.0, 0.3, 0.47856
0.0, 0.4, 0.47629
0.0, 0.5, 0.472766
0.0, 0.6, 0.479449
0.0, 0.7, 0.490215
0.25, 0.1, 0.38741168
0.25, 0.2, 0.36801508
0.25, 0.3, 0.35827618
0.25, 0.4, 0.35227456
0.25, 0.5, 0.34812197
0.25, 0.6, 0.34462625
0.25, 0.7, 0.34189887
0.5, 0.1, 0.67384927
0.5, 0.2, 0.65238683
0.5, 0.3, 0.64295196
0.5, 0.4, 0.63659964
0.5, 0.5, 0.63259165
0.5, 0.6, 0.62949790
0.5, 0.7, 0.62655786
0.75, 0.1, 0.96230274
0.75, 0.2, 0.94216525
0.75, 0.3, 0.93206944
0.75, 0.4, 0.92653530
0.75, 0.5, 0.92179992
0.75, 0.6, 0.91874315
0.75, 0.7, 0.91556803
1.0, 0.1, 1.25877571
1.0, 0.2, 1.23666773
1.0, 0.3, 1.22599768
1.0, 0.4, 1.21955488
1.0, 0.5, 1.21456399
1.0, 0.6, 1.21040229
1.0, 0.7, 1.20769268
